Feature,Feature_old,CURIE,Definition,Synonyms,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB
Left Gyrus Pariet Inf-Angular Area From Qdec,Left_gyrus_pariet_inf-Angular_area_from_Qdec_lh,,,,,,,,,,(G_pariet_inf-Angular)SurfArea,,,,,lh_G_pariet_inf-Angular_area,lh_G_pariet_inf-Angular_area,lh_G_pariet_inf-Angular_area,lh_G_pariet_inf-Angular_area,lh_G_pariet_inf-Angular_area,lh_G_pariet_inf-Angular_area,lh_G_pariet_inf-Angular_area,,
Left Gyrus Pariet Inf-Supramar Area From Qdec,Left_gyrus_pariet_inf-Supramar_area_from_Qdec_lh,,,,,,,,,,(G_pariet_inf-Supramar)SurfArea,,,,,lh_G_pariet_inf-Supramar_area,lh_G_pariet_inf-Supramar_area,lh_G_pariet_inf-Supramar_area,lh_G_pariet_inf-Supramar_area,lh_G_pariet_inf-Supramar_area,lh_G_pariet_inf-Supramar_area,lh_G_pariet_inf-Supramar_area,,
Left Gyrus Parietal Sup Area From Qdec,Left_gyrus_parietal_sup_area_from_Qdec_lh,,,,,,,,,,(G_parietal_sup)SurfArea,,,,,lh_G_parietal_sup_area,lh_G_parietal_sup_area,lh_G_parietal_sup_area,lh_G_parietal_sup_area,lh_G_parietal_sup_area,lh_G_parietal_sup_area,lh_G_parietal_sup_area,,
Left Gyrus Postcentral Area From Qdec,Left_gyrus_postcentral_area_from_Qdec_lh,,,,,,,,,,(G_postcentral)SurfArea,,,,,lh_G_postcentral_area,lh_G_postcentral_area,lh_G_postcentral_area,lh_G_postcentral_area,lh_G_postcentral_area,lh_G_postcentral_area,lh_G_postcentral_area,,
Left Gyrus Precentral Area From Qdec,Left_gyrus_precentral_area_from_Qdec_lh,,,,,,,,,,(G_precentral)SurfArea,,,,,lh_G_precentral_area,lh_G_precentral_area,lh_G_precentral_area,lh_G_precentral_area,lh_G_precentral_area,lh_G_precentral_area,lh_G_precentral_area,,
Left Gyrus Precuneus Area From Qdec,Left_gyrus_precuneus_area_from_Qdec_lh,,,,,,,,,,(G_precuneus)SurfArea,,,,,lh_G_precuneus_area,lh_G_precuneus_area,lh_G_precuneus_area,lh_G_precuneus_area,lh_G_precuneus_area,lh_G_precuneus_area,lh_G_precuneus_area,,
Left Gyrus Rectus Area From Qdec,Left_gyrus_rectus_area_from_Qdec_lh,UBERON:0004671,,,,,,,,,(G_rectus)SurfArea,,,,,lh_G_rectus_area,lh_G_rectus_area,lh_G_rectus_area,lh_G_rectus_area,lh_G_rectus_area,lh_G_rectus_area,lh_G_rectus_area,,
Left Gyrus Subcallosal Area From Qdec,Left_gyrus_subcallosal_area_from_Qdec_lh,,,,,,,,,llsubcav,(G_subcallosal)SurfArea,,,,,lh_G_subcallosal_area,lh_G_subcallosal_area,lh_G_subcallosal_area,lh_G_subcallosal_area,lh_G_subcallosal_area,lh_G_subcallosal_area,lh_G_subcallosal_area,,
Left Gyrus Temp Sup-G T Transv Area From Qdec,Left_gyrus_temp_sup-G_T_transv_area_from_Qdec_lh,,,,,,,,,,(G_temp_sup-G_T_transv)SurfArea,,,,,lh_G_temp_sup-G_T_transv_area,lh_G_temp_sup-G_T_transv_area,lh_G_temp_sup-G_T_transv_area,lh_G_temp_sup-G_T_transv_area,lh_G_temp_sup-G_T_transv_area,lh_G_temp_sup-G_T_transv_area,lh_G_temp_sup-G_T_transv_area,,
Left Gyrus Temp Sup-Lateral Area From Qdec,Left_gyrus_temp_sup-Lateral_area_from_Qdec_lh,,,,,,,,,,(G_temp_sup-Lateral)SurfArea,,,,,lh_G_temp_sup-Lateral_area,lh_G_temp_sup-Lateral_area,lh_G_temp_sup-Lateral_area,lh_G_temp_sup-Lateral_area,lh_G_temp_sup-Lateral_area,lh_G_temp_sup-Lateral_area,lh_G_temp_sup-Lateral_area,,
Left Gyrus Temp Sup-Plan Polar Area From Qdec,Left_gyrus_temp_sup-Plan_polar_area_from_Qdec_lh,,,,,,,,,,(G_temp_sup-Plan_polar)SurfArea,,,,,lh_G_temp_sup-Plan_polar_area,lh_G_temp_sup-Plan_polar_area,lh_G_temp_sup-Plan_polar_area,lh_G_temp_sup-Plan_polar_area,lh_G_temp_sup-Plan_polar_area,lh_G_temp_sup-Plan_polar_area,lh_G_temp_sup-Plan_polar_area,,
Left Gyrus Temp Sup-Plan Tempo Area From Qdec,Left_gyrus_temp_sup-Plan_tempo_area_from_Qdec_lh,,,,,,,,,,(G_temp_sup-Plan_tempo)SurfArea,,,,,lh_G_temp_sup-Plan_tempo_area,lh_G_temp_sup-Plan_tempo_area,lh_G_temp_sup-Plan_tempo_area,lh_G_temp_sup-Plan_tempo_area,lh_G_temp_sup-Plan_tempo_area,lh_G_temp_sup-Plan_tempo_area,lh_G_temp_sup-Plan_tempo_area,,
Left Gyrus Temporal Inferior Area From Qdec,Left_gyrus_temporal_inferior_area_from_Qdec_lh,UBERON:0002751,,,,,,,,,(G_temporal_inf)SurfArea,,,,,lh_G_temporal_inf_area,lh_G_temporal_inf_area,lh_G_temporal_inf_area,lh_G_temporal_inf_area,lh_G_temporal_inf_area,lh_G_temporal_inf_area,lh_G_temporal_inf_area,,
Left Gyrus Temporal Middle Area From Qdec,Left_gyrus_temporal_middle_area_from_Qdec_lh,UBERON:0002771,,,,,,,,,(G_temporal_middle)SurfArea,,,,,lh_G_temporal_middle_area,lh_G_temporal_middle_area,lh_G_temporal_middle_area,lh_G_temporal_middle_area,lh_G_temporal_middle_area,lh_G_temporal_middle_area,lh_G_temporal_middle_area,,
Left Lat Fis-ant-Horizont Area From Qdec,Left_Lat_Fis-ant-Horizont_area_from_Qdec_lh,,,,,,,,,,(Lat_Fis-ant-Horizont)SurfArea,,,,,lh_Lat_Fis-ant-Horizont_area,lh_Lat_Fis-ant-Horizont_area,lh_Lat_Fis-ant-Horizont_area,lh_Lat_Fis-ant-Horizont_area,lh_Lat_Fis-ant-Horizont_area,lh_Lat_Fis-ant-Horizont_area,lh_Lat_Fis-ant-Horizont_area,,
Left Lat Fis-ant-Vertical Area From Qdec,Left_Lat_Fis-ant-Vertical_area_from_Qdec_lh,,,,,,,,,,(Lat_Fis-ant-Vertical)SurfArea,,,,,lh_Lat_Fis-ant-Vertical_area,lh_Lat_Fis-ant-Vertical_area,lh_Lat_Fis-ant-Vertical_area,lh_Lat_Fis-ant-Vertical_area,lh_Lat_Fis-ant-Vertical_area,lh_Lat_Fis-ant-Vertical_area,lh_Lat_Fis-ant-Vertical_area,,
Left Lat Fis-post Area From Qdec,Left_Lat_Fis-post_area_from_Qdec_lh,,,,,,,,,,(Lat_Fis-post)SurfArea,,,,,lh_Lat_Fis-post_area,lh_Lat_Fis-post_area,lh_Lat_Fis-post_area,lh_Lat_Fis-post_area,lh_Lat_Fis-post_area,lh_Lat_Fis-post_area,lh_Lat_Fis-post_area,,
Left Pole Occipital Area From Qdec,Left_Pole_occipital_area_from_Qdec_lh,,,,,,,,,,(Pole_occipital)SurfArea,,,,,lh_Pole_occipital_area,lh_Pole_occipital_area,lh_Pole_occipital_area,lh_Pole_occipital_area,lh_Pole_occipital_area,lh_Pole_occipital_area,lh_Pole_occipital_area,,
Left Pole Temporal Area From Qdec,Left_Pole_temporal_area_from_Qdec_lh,,,,,,,,,,(Pole_temporal)SurfArea,,,,,lh_Pole_temporal_area,lh_Pole_temporal_area,lh_Pole_temporal_area,lh_Pole_temporal_area,lh_Pole_temporal_area,lh_Pole_temporal_area,lh_Pole_temporal_area,,
Left Sulcus Calcarine Area From Qdec,Left_sulcus_calcarine_area_from_Qdec_lh,,,,,,,,,,(S_calcarine)SurfArea,,,,,lh_S_calcarine_area,lh_S_calcarine_area,lh_S_calcarine_area,lh_S_calcarine_area,lh_S_calcarine_area,lh_S_calcarine_area,lh_S_calcarine_area,,
Left Sulcus Central Area From Qdec,Left_sulcus_central_area_from_Qdec_lh,,,,,,,,,,(S_central)SurfArea,,,,,lh_S_central_area,lh_S_central_area,lh_S_central_area,lh_S_central_area,lh_S_central_area,lh_S_central_area,lh_S_central_area,,
Left Sulcus Cingul-Marginalis Area From Qdec,Left_sulcus_cingul-Marginalis_area_from_Qdec_lh,,,,,,,,,,(S_cingul-Marginalis)SurfArea,,,,,lh_S_cingul-Marginalis_area,lh_S_cingul-Marginalis_area,lh_S_cingul-Marginalis_area,lh_S_cingul-Marginalis_area,lh_S_cingul-Marginalis_area,lh_S_cingul-Marginalis_area,lh_S_cingul-Marginalis_area,,
Left Sulcus Circular Insula Anterior Area From Qdec,Left_sulcus_circular_insula_anterior_area_from_Qdec_lh,,,,,,,,,,(S_circular_insula_ant)SurfArea,,,,,lh_S_circular_insula_ant_area,lh_S_circular_insula_ant_area,lh_S_circular_insula_ant_area,lh_S_circular_insula_ant_area,lh_S_circular_insula_ant_area,lh_S_circular_insula_ant_area,lh_S_circular_insula_ant_area,,
Left Sulcus Circular Insula Inferior Area From Qdec,Left_sulcus_circular_insula_inferior_area_from_Qdec_lh,,,,,,,,,,(S_circular_insula_inf)SurfArea,,,,,lh_S_circular_insula_inf_area,lh_S_circular_insula_inf_area,lh_S_circular_insula_inf_area,lh_S_circular_insula_inf_area,lh_S_circular_insula_inf_area,lh_S_circular_insula_inf_area,lh_S_circular_insula_inf_area,,
Left Sulcus Circular Insula Sup Area From Qdec,Left_sulcus_circular_insula_sup_area_from_Qdec_lh,,,,,,,,,,(S_circular_insula_sup)SurfArea,,,,,lh_S_circular_insula_sup_area,lh_S_circular_insula_sup_area,lh_S_circular_insula_sup_area,lh_S_circular_insula_sup_area,lh_S_circular_insula_sup_area,lh_S_circular_insula_sup_area,lh_S_circular_insula_sup_area,,
Left Sulcus Collat Transv Anterior Area From Qdec,Left_sulcus_collat_transv_anterior_area_from_Qdec_lh,,,,,,,,,,(S_collat_transv_ant)SurfArea,,,,,lh_S_collat_transv_ant_area,lh_S_collat_transv_ant_area,lh_S_collat_transv_ant_area,lh_S_collat_transv_ant_area,lh_S_collat_transv_ant_area,lh_S_collat_transv_ant_area,lh_S_collat_transv_ant_area,,
Left Sulcus Collat Transv Posterior Area From Qdec,Left_sulcus_collat_transv_posterior_area_from_Qdec_lh,,,,,,,,,,(S_collat_transv_post)SurfArea,,,,,lh_S_collat_transv_post_area,lh_S_collat_transv_post_area,lh_S_collat_transv_post_area,lh_S_collat_transv_post_area,lh_S_collat_transv_post_area,lh_S_collat_transv_post_area,lh_S_collat_transv_post_area,,
Left Sulcus Frontal Inferior Area From Qdec,Left_sulcus_frontal_inferior_area_from_Qdec_lh,,,,,,,,,,(S_front_inf)SurfArea,,,,,lh_S_front_inf_area,lh_S_front_inf_area,lh_S_front_inf_area,lh_S_front_inf_area,lh_S_front_inf_area,lh_S_front_inf_area,lh_S_front_inf_area,,
Left Sulcus Frontal Middle Area From Qdec,Left_sulcus_frontal_middle_area_from_Qdec_lh,,,,,,,,,,(S_front_middle)SurfArea,,,,,lh_S_front_middle_area,lh_S_front_middle_area,lh_S_front_middle_area,lh_S_front_middle_area,lh_S_front_middle_area,lh_S_front_middle_area,lh_S_front_middle_area,,
Left Sulcus Frontal Sup Area From Qdec,Left_sulcus_frontal_sup_area_from_Qdec_lh,,,,,,,,,,(S_front_sup)SurfArea,,,,,lh_S_front_sup_area,lh_S_front_sup_area,lh_S_front_sup_area,lh_S_front_sup_area,lh_S_front_sup_area,lh_S_front_sup_area,lh_S_front_sup_area,,
Left Sulcus Interm Prim-Jensen Area From Qdec,Left_sulcus_interm_prim-Jensen_area_from_Qdec_lh,,,,,,,,,,(S_interm_prim-Jensen)SurfArea,,,,,lh_S_interm_prim-Jensen_area,lh_S_interm_prim-Jensen_area,lh_S_interm_prim-Jensen_area,lh_S_interm_prim-Jensen_area,lh_S_interm_prim-Jensen_area,lh_S_interm_prim-Jensen_area,lh_S_interm_prim-Jensen_area,,
Left Sulcus Intrapariet And P Trans Area From Qdec,Left_sulcus_intrapariet_and_P_trans_area_from_Qdec_lh,,,,,,,,,,(S_intrapariet_and_P_trans)SurfArea,,,,,lh_S_intrapariet_and_P_trans_area,lh_S_intrapariet_and_P_trans_area,lh_S_intrapariet_and_P_trans_area,lh_S_intrapariet_and_P_trans_area,lh_S_intrapariet_and_P_trans_area,lh_S_intrapariet_and_P_trans_area,lh_S_intrapariet_and_P_trans_area,,
Left Sulcus Oc Middle And Lunatus Area From Qdec,Left_sulcus_oc_middle_and_Lunatus_area_from_Qdec_lh,,,,,,,,,,(S_oc_middle_and_Lunatus)SurfArea,,,,,lh_S_oc_middle_and_Lunatus_area,lh_S_oc_middle_and_Lunatus_area,lh_S_oc_middle_and_Lunatus_area,lh_S_oc_middle_and_Lunatus_area,lh_S_oc_middle_and_Lunatus_area,lh_S_oc_middle_and_Lunatus_area,lh_S_oc_middle_and_Lunatus_area,,
Left Sulcus Oc Sup And Transversal Area From Qdec,Left_sulcus_oc_sup_and_transversal_area_from_Qdec_lh,,,,,,,,,,(S_oc_sup_and_transversal)SurfArea,,,,,lh_S_oc_sup_and_transversal_area,lh_S_oc_sup_and_transversal_area,lh_S_oc_sup_and_transversal_area,lh_S_oc_sup_and_transversal_area,lh_S_oc_sup_and_transversal_area,lh_S_oc_sup_and_transversal_area,lh_S_oc_sup_and_transversal_area,,
Left Sulcus Occipital Anterior Area From Qdec,Left_sulcus_occipital_anterior_area_from_Qdec_lh,,,,,,,,,,(S_occipital_ant)SurfArea,,,,,lh_S_occipital_ant_area,lh_S_occipital_ant_area,lh_S_occipital_ant_area,lh_S_occipital_ant_area,lh_S_occipital_ant_area,lh_S_occipital_ant_area,lh_S_occipital_ant_area,,
Left Sulcus Oc-temp Lat Area From Qdec,Left_sulcus_oc-temp_lat_area_from_Qdec_lh,,,,,,,,,,(S_oc-temp_lat)SurfArea,,,,,lh_S_oc-temp_lat_area,lh_S_oc-temp_lat_area,lh_S_oc-temp_lat_area,lh_S_oc-temp_lat_area,lh_S_oc-temp_lat_area,lh_S_oc-temp_lat_area,lh_S_oc-temp_lat_area,,
Left Sulcus Oc-temp Med And Lingual Area From Qdec,Left_sulcus_oc-temp_med_and_Lingual_area_from_Qdec_lh,,,,,,,,,,(S_oc-temp_med_and_Lingual)SurfArea,,,,,lh_S_oc-temp_med_and_Lingual_area,lh_S_oc-temp_med_and_Lingual_area,lh_S_oc-temp_med_and_Lingual_area,lh_S_oc-temp_med_and_Lingual_area,lh_S_oc-temp_med_and_Lingual_area,lh_S_oc-temp_med_and_Lingual_area,lh_S_oc-temp_med_and_Lingual_area,,
Left Sulcus Orbital Lateral Area From Qdec,Left_sulcus_orbital_lateral_area_from_Qdec_lh,,,,,,,,,,(S_orbital_lateral)SurfArea,,,,,lh_S_orbital_lateral_area,lh_S_orbital_lateral_area,lh_S_orbital_lateral_area,lh_S_orbital_lateral_area,lh_S_orbital_lateral_area,lh_S_orbital_lateral_area,lh_S_orbital_lateral_area,,
Left Sulcus Orbital Med-olfact Area From Qdec,Left_sulcus_orbital_med-olfact_area_from_Qdec_lh,,,,,,,,,,(S_orbital_med-olfact)SurfArea,,,,,lh_S_orbital_med-olfact_area,lh_S_orbital_med-olfact_area,lh_S_orbital_med-olfact_area,lh_S_orbital_med-olfact_area,lh_S_orbital_med-olfact_area,lh_S_orbital_med-olfact_area,lh_S_orbital_med-olfact_area,,
Left Sulcus Orbital-H Shaped Area From Qdec,Left_sulcus_orbital-H_Shaped_area_from_Qdec_lh,,,,,,,,,,(S_orbital-H_Shaped)SurfArea,,,,,lh_S_orbital-H_Shaped_area,lh_S_orbital-H_Shaped_area,lh_S_orbital-H_Shaped_area,lh_S_orbital-H_Shaped_area,lh_S_orbital-H_Shaped_area,lh_S_orbital-H_Shaped_area,lh_S_orbital-H_Shaped_area,,
Left Sulcus Parieto Occipital Area From Qdec,Left_sulcus_parieto_occipital_area_from_Qdec_lh,,,,,,,,,,(S_parieto_occipital)SurfArea,,,,,lh_S_parieto_occipital_area,lh_S_parieto_occipital_area,lh_S_parieto_occipital_area,lh_S_parieto_occipital_area,lh_S_parieto_occipital_area,lh_S_parieto_occipital_area,lh_S_parieto_occipital_area,,
Left Sulcus Pericallosal Area From Qdec,Left_sulcus_pericallosal_area_from_Qdec_lh,,,,,,,,,,(S_pericallosal)SurfArea,,,,,lh_S_pericallosal_area,lh_S_pericallosal_area,lh_S_pericallosal_area,lh_S_pericallosal_area,lh_S_pericallosal_area,lh_S_pericallosal_area,lh_S_pericallosal_area,,
Left Sulcus Postcentral Area From Qdec,Left_sulcus_postcentral_area_from_Qdec_lh,,,,,,,,,,(S_postcentral)SurfArea,,,,,lh_S_postcentral_area,lh_S_postcentral_area,lh_S_postcentral_area,lh_S_postcentral_area,lh_S_postcentral_area,lh_S_postcentral_area,lh_S_postcentral_area,,
Left Sulcus Precentral-inf-part Area From Qdec,Left_sulcus_precentral-inf-part_area_from_Qdec_lh,,,,,,,,,,(S_precentral-inf-part)SurfArea,,,,,lh_S_precentral-inf-part_area,lh_S_precentral-inf-part_area,lh_S_precentral-inf-part_area,lh_S_precentral-inf-part_area,lh_S_precentral-inf-part_area,lh_S_precentral-inf-part_area,lh_S_precentral-inf-part_area,,
Left Sulcus Precentral-sup-part Area From Qdec,Left_sulcus_precentral-sup-part_area_from_Qdec_lh,,,,,,,,,,(S_precentral-sup-part)SurfArea,,,,,lh_S_precentral-sup-part_area,lh_S_precentral-sup-part_area,lh_S_precentral-sup-part_area,lh_S_precentral-sup-part_area,lh_S_precentral-sup-part_area,lh_S_precentral-sup-part_area,lh_S_precentral-sup-part_area,,
Left Sulcus Suborbital Area From Qdec,Left_sulcus_suborbital_area_from_Qdec_lh,,,,,,,,,,(S_suborbital)SurfArea,,,,,lh_S_suborbital_area,lh_S_suborbital_area,lh_S_suborbital_area,lh_S_suborbital_area,lh_S_suborbital_area,lh_S_suborbital_area,lh_S_suborbital_area,,
Left Sulcus Subparietal Area From Qdec,Left_sulcus_subparietal_area_from_Qdec_lh,,,,,,,,,,(S_subparietal)SurfArea,,,,,lh_S_subparietal_area,lh_S_subparietal_area,lh_S_subparietal_area,lh_S_subparietal_area,lh_S_subparietal_area,lh_S_subparietal_area,lh_S_subparietal_area,,
Left Sulcus Temporal Inferior Area From Qdec,Left_sulcus_temporal_inferior_area_from_Qdec_lh,,,,,,,,,,(S_temporal_inf)SurfArea,,,,,lh_S_temporal_inf_area,lh_S_temporal_inf_area,lh_S_temporal_inf_area,lh_S_temporal_inf_area,lh_S_temporal_inf_area,lh_S_temporal_inf_area,lh_S_temporal_inf_area,,
Left Sulcus Temporal Sup Area From Qdec,Left_sulcus_temporal_sup_area_from_Qdec_lh,,,,,,,,,,(S_temporal_sup)SurfArea,,,,,lh_S_temporal_sup_area,lh_S_temporal_sup_area,lh_S_temporal_sup_area,lh_S_temporal_sup_area,lh_S_temporal_sup_area,lh_S_temporal_sup_area,lh_S_temporal_sup_area,,
Left Sulcus Temporal Transverse Area From Qdec,Left_sulcus_temporal_transverse_area_from_Qdec_lh,,,,,,,,,,(S_temporal_transverse)SurfArea,,,,,lh_S_temporal_transverse_area,lh_S_temporal_transverse_area,lh_S_temporal_transverse_area,lh_S_temporal_transverse_area,lh_S_temporal_transverse_area,lh_S_temporal_transverse_area,lh_S_temporal_transverse_area,,
Left Gyrus And Sulcus Frontomargin Meancurv From Qdec,Left_gyrus_and_sulcus_frontomargin_meancurv_from_Qdec_lh,,,,,,,,,,(G_and_S_frontomargin)MeanCurv,,,,,lh_G_and_S_frontomargin_meancurv,lh_G_and_S_frontomargin_meancurv,lh_G_and_S_frontomargin_meancurv,lh_G_and_S_frontomargin_meancurv,lh_G_and_S_frontomargin_meancurv,lh_G_and_S_frontomargin_meancurv,lh_G_and_S_frontomargin_meancurv,,
Left Gyrus And Sulcus Occipital Inferior Meancurv From Qdec,Left_gyrus_and_sulcus_occipital_inferior_meancurv_from_Qdec_lh,,,,,,,,,,(G_and_S_occipital_inf)MeanCurv,,,,,lh_G_and_S_occipital_inf_meancurv,lh_G_and_S_occipital_inf_meancurv,lh_G_and_S_occipital_inf_meancurv,lh_G_and_S_occipital_inf_meancurv,lh_G_and_S_occipital_inf_meancurv,lh_G_and_S_occipital_inf_meancurv,lh_G_and_S_occipital_inf_meancurv,,
Left Gyrus And Sulcus Paracentral Meancurv From Qdec,Left_gyrus_and_sulcus_paracentral_meancurv_from_Qdec_lh,,,,,,,,,,(G_and_S_paracentral)MeanCurv,,,,,lh_G_and_S_paracentral_meancurv,lh_G_and_S_paracentral_meancurv,lh_G_and_S_paracentral_meancurv,lh_G_and_S_paracentral_meancurv,lh_G_and_S_paracentral_meancurv,lh_G_and_S_paracentral_meancurv,lh_G_and_S_paracentral_meancurv,,
Left Gyrus And Sulcus Subcentral Meancurv From Qdec,Left_gyrus_and_sulcus_subcentral_meancurv_from_Qdec_lh,,,,,,,,,,(G_and_S_subcentral)MeanCurv,,,,,lh_G_and_S_subcentral_meancurv,lh_G_and_S_subcentral_meancurv,lh_G_and_S_subcentral_meancurv,lh_G_and_S_subcentral_meancurv,lh_G_and_S_subcentral_meancurv,lh_G_and_S_subcentral_meancurv,lh_G_and_S_subcentral_meancurv,,
Left Gyrus And Sulcus Transv Frontopol Meancurv From Qdec,Left_gyrus_and_sulcus_transv_frontopol_meancurv_from_Qdec_lh,,,,,,,,,,(G_and_S_transv_frontopol)MeanCurv,,,,,lh_G_and_S_transv_frontopol_meancurv,lh_G_and_S_transv_frontopol_meancurv,lh_G_and_S_transv_frontopol_meancurv,lh_G_and_S_transv_frontopol_meancurv,lh_G_and_S_transv_frontopol_meancurv,lh_G_and_S_transv_frontopol_meancurv,lh_G_and_S_transv_frontopol_meancurv,,
Left Gyrus And Sulcus Cingul-Ant Meancurv From Qdec,Left_gyrus_and_sulcus_cingul-Ant_meancurv_from_Qdec_lh,,,,,,,,,,(G_and_S_cingul-Ant)MeanCurv,,,,,lh_G_and_S_cingul-Ant_meancurv,lh_G_and_S_cingul-Ant_meancurv,lh_G_and_S_cingul-Ant_meancurv,lh_G_and_S_cingul-Ant_meancurv,lh_G_and_S_cingul-Ant_meancurv,lh_G_and_S_cingul-Ant_meancurv,lh_G_and_S_cingul-Ant_meancurv,,
Left Gyrus And Sulcus Cingul-Mid-Ant Meancurv From Qdec,Left_gyrus_and_sulcus_cingul-Mid-Ant_meancurv_from_Qdec_lh,,,,,,,,,,(G_and_S_cingul-Mid-Ant)MeanCurv,,,,,lh_G_and_S_cingul-Mid-Ant_meancurv,lh_G_and_S_cingul-Mid-Ant_meancurv,lh_G_and_S_cingul-Mid-Ant_meancurv,lh_G_and_S_cingul-Mid-Ant_meancurv,lh_G_and_S_cingul-Mid-Ant_meancurv,lh_G_and_S_cingul-Mid-Ant_meancurv,lh_G_and_S_cingul-Mid-Ant_meancurv,,
Left Gyrus And Sulcus Cingul-Mid-Post Meancurv From Qdec,Left_gyrus_and_sulcus_cingul-Mid-Post_meancurv_from_Qdec_lh,,,,,,,,,,(G_and_S_cingul-Mid-Post)MeanCurv,,,,,lh_G_and_S_cingul-Mid-Post_meancurv,lh_G_and_S_cingul-Mid-Post_meancurv,lh_G_and_S_cingul-Mid-Post_meancurv,lh_G_and_S_cingul-Mid-Post_meancurv,lh_G_and_S_cingul-Mid-Post_meancurv,lh_G_and_S_cingul-Mid-Post_meancurv,lh_G_and_S_cingul-Mid-Post_meancurv,,
Left Gyrus Cingul-Post-dorsal Meancurv From Qdec,Left_gyrus_cingul-Post-dorsal_meancurv_from_Qdec_lh,,,,,,,,,,(G_cingul-Post-dorsal)MeanCurv,,,,,lh_G_cingul-Post-dorsal_meancurv,lh_G_cingul-Post-dorsal_meancurv,lh_G_cingul-Post-dorsal_meancurv,lh_G_cingul-Post-dorsal_meancurv,lh_G_cingul-Post-dorsal_meancurv,lh_G_cingul-Post-dorsal_meancurv,lh_G_cingul-Post-dorsal_meancurv,,
Left Gyrus Cingul-Post-ventral Meancurv From Qdec,Left_gyrus_cingul-Post-ventral_meancurv_from_Qdec_lh,,,,,,,,,,(G_cingul-Post-ventral)MeanCurv,,,,,lh_G_cingul-Post-ventral_meancurv,lh_G_cingul-Post-ventral_meancurv,lh_G_cingul-Post-ventral_meancurv,lh_G_cingul-Post-ventral_meancurv,lh_G_cingul-Post-ventral_meancurv,lh_G_cingul-Post-ventral_meancurv,lh_G_cingul-Post-ventral_meancurv,,
Left Gyrus Cuneus Meancurv From Qdec,Left_gyrus_cuneus_meancurv_from_Qdec_lh,,,,,,,,,,(G_cuneus)MeanCurv,,,,,lh_G_cuneus_meancurv,lh_G_cuneus_meancurv,lh_G_cuneus_meancurv,lh_G_cuneus_meancurv,lh_G_cuneus_meancurv,lh_G_cuneus_meancurv,lh_G_cuneus_meancurv,,
Left Gyrus Frontal Inf-Opercular Meancurv From Qdec,Left_gyrus_frontal_inf-Opercular_meancurv_from_Qdec_lh,,,,,,,,,,,,,,,lh_G_front_inf-Opercular_meancurv,lh_G_front_inf-Opercular_meancurv,lh_G_front_inf-Opercular_meancurv,lh_G_front_inf-Opercular_meancurv,lh_G_front_inf-Opercular_meancurv,lh_G_front_inf-Opercular_meancurv,lh_G_front_inf-Opercular_meancurv,,
Left Gyrus Frontal Inf-Orbital Meancurv From Qdec,Left_gyrus_frontal_inf-Orbital_meancurv_from_Qdec_lh,,,,,,,,,,,,,,,lh_G_front_inf-Orbital_meancurv,lh_G_front_inf-Orbital_meancurv,lh_G_front_inf-Orbital_meancurv,lh_G_front_inf-Orbital_meancurv,lh_G_front_inf-Orbital_meancurv,lh_G_front_inf-Orbital_meancurv,lh_G_front_inf-Orbital_meancurv,,
Left Gyrus Frontal Inf-Triangul Meancurv From Qdec,Left_gyrus_frontal_inf-Triangul_meancurv_from_Qdec_lh,,,,,,,,,,,,,,,lh_G_front_inf-Triangul_meancurv,lh_G_front_inf-Triangul_meancurv,lh_G_front_inf-Triangul_meancurv,lh_G_front_inf-Triangul_meancurv,lh_G_front_inf-Triangul_meancurv,lh_G_front_inf-Triangul_meancurv,lh_G_front_inf-Triangul_meancurv,,
Left Gyrus Frontal Middle Meancurv From Qdec,Left_gyrus_frontal_middle_meancurv_from_Qdec_lh,,,,,,,,,,,,,,,lh_G_front_middle_meancurv,lh_G_front_middle_meancurv,lh_G_front_middle_meancurv,lh_G_front_middle_meancurv,lh_G_front_middle_meancurv,lh_G_front_middle_meancurv,lh_G_front_middle_meancurv,,
Left Gyrus Frontal Sup Meancurv From Qdec,Left_gyrus_frontal_sup_meancurv_from_Qdec_lh,,,,,,,,,,,,,,,lh_G_front_sup_meancurv,lh_G_front_sup_meancurv,lh_G_front_sup_meancurv,lh_G_front_sup_meancurv,lh_G_front_sup_meancurv,lh_G_front_sup_meancurv,lh_G_front_sup_meancurv,,
Left Gyrus Ins Lg And Sulcus Cent Ins Meancurv From Qdec,Left_gyrus_Ins_lg_and_sulcus_cent_ins_meancurv_from_Qdec_lh,,,,,,,,,,(G_Ins_lg_and_S_cent_ins)MeanCurv,,,,,lh_G_Ins_lg_and_S_cent_ins_meancurv,lh_G_Ins_lg_and_S_cent_ins_meancurv,lh_G_Ins_lg_and_S_cent_ins_meancurv,lh_G_Ins_lg_and_S_cent_ins_meancurv,lh_G_Ins_lg_and_S_cent_ins_meancurv,lh_G_Ins_lg_and_S_cent_ins_meancurv,lh_G_Ins_lg_and_S_cent_ins_meancurv,,
